Temps (s),Echelon (V),DeltaV (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C),Courant (V)
129.13751888275146,0.679,1.012,1.97,35.458,1.789,39.217,1.481,46.481,3.402
129.7441759109497,0.679,1.012,1.965,35.557,1.789,39.217,1.481,46.481,3.397
130.35090708732605,0.679,1.017,1.96,35.657,1.789,39.217,1.476,46.602,3.407
130.9575572013855,0.679,1.012,1.96,35.657,1.784,39.322,1.476,46.602,3.402
131.5642158985138,0.679,1.017,1.955,35.756,1.784,39.322,1.476,46.602,3.407
132.17090797424316,0.679,1.017,1.955,35.756,1.784,39.322,1.476,46.602,3.407
132.77759504318237,0.674,1.007,1.955,35.756,1.779,39.427,1.471,46.723,3.397
133.3843789100647,0.679,1.012,1.955,35.756,1.779,39.427,1.466,46.844,3.397
133.99104499816895,0.679,1.017,1.955,35.756,1.779,39.427,1.466,46.844,3.397
134.5976541042328,0.674,1.017,1.955,35.756,1.774,39.533,1.461,46.966,3.392
135.20436692237854,0.679,1.012,1.95,35.856,1.774,39.533,1.461,46.966,3.397
135.81102299690247,0.674,1.017,1.95,35.856,1.774,39.533,1.461,46.966,3.397
136.41774201393127,0.674,1.007,1.945,35.956,1.774,39.533,1.457,47.088,3.402
137.0244119167328,0.674,1.017,1.945,35.956,1.769,39.639,1.457,47.088,3.392
137.63107013702393,0.674,1.007,1.945,35.956,1.769,39.639,1.457,47.088,3.392
138.237774848938,0.674,1.017,1.94,36.056,1.764,39.745,1.457,47.088,3.392
138.8444480895996,0.665,1.026,1.94,36.056,1.764,39.745,1.452,47.211,3.402
139.45116996765137,0.674,1.017,1.935,36.156,1.764,39.745,1.452,47.211,3.387
140.05788493156433,0.674,1.017,1.935,36.156,1.76,39.851,1.447,47.334,3.392
140.6645109653473,0.674,1.017,1.931,36.256,1.755,39.958,1.447,47.334,3.392
141.2711341381073,0.674,1.017,1.931,36.256,1.755,39.958,1.447,47.334,3.392
141.87786293029785,0.674,1.012,1.926,36.356,1.755,39.958,1.447,47.334,3.397
142.48457503318787,0.674,1.022,1.926,36.356,1.75,40.065,1.442,47.457,3.387
143.0912480354309,0.67,1.022,1.926,36.356,1.75,40.065,1.442,47.457,3.387
143.69788599014282,0.674,1.017,1.921,36.457,1.745,40.171,1.442,47.457,3.392
144.30456686019897,0.67,1.026,1.921,36.457,1.745,40.171,1.442,47.457,3.392
144.91140007972717,0.67,1.022,1.921,36.457,1.74,40.279,1.442,47.457,3.382
145.51794600486755,0.67,1.022,1.916,36.558,1.74,40.279,1.437,47.58,3.397
146.12457990646362,0.665,1.026,1.916,36.558,1.74,40.279,1.437,47.58,3.387
146.7313151359558,0.67,1.022,1.911,36.658,1.735,40.386,1.432,47.704,3.382
147.33797597885132,0.674,1.017,1.911,36.658,1.735,40.386,1.432,47.704,3.387
147.94467496871948,0.67,1.026,1.906,36.759,1.73,40.493,1.432,47.704,3.392
148.55137014389038,0.674,1.022,1.901,36.861,1.73,40.493,1.432,47.704,3.387
149.15806198120117,0.674,1.022,1.901,36.861,1.73,40.493,1.427,47.828,3.387
149.76469492912292,0.674,1.017,1.896,36.962,1.725,40.601,1.427,47.828,3.387
150.37143301963806,0.674,1.017,1.896,36.962,1.725,40.601,1.427,47.828,3.387
