Temps (s),Echelon (V),Tension_0 (V),Temp_0 (°C),Tension_1 (V),Temp_1 (°C),Tension_2 (V),Temp_2 (°C)
86.20874881744385,0.489,1.701,41.16,2.058,33.679,2.234,30.441
86.4745979309082,0.494,1.701,41.16,2.058,33.679,2.229,30.534
86.74027061462402,0.494,1.696,41.269,2.053,33.776,2.229,30.534
87.00529551506042,0.494,1.696,41.269,2.053,33.776,2.229,30.534
87.27058219909668,0.494,1.696,41.269,2.053,33.776,2.224,30.628
87.5353798866272,0.494,1.691,41.378,2.048,33.873,2.224,30.628
87.80088210105896,0.489,1.691,41.378,2.048,33.873,2.224,30.628
88.06615400314331,0.489,1.696,41.269,2.048,33.873,2.219,30.721
88.33128452301025,0.494,1.691,41.378,2.048,33.873,2.219,30.721
88.59574508666992,0.494,1.691,41.378,2.043,33.97,2.219,30.721
88.86037087440491,0.494,1.686,41.487,2.043,33.97,2.219,30.721
89.12639856338501,0.489,1.686,41.487,2.043,33.97,2.214,30.814
89.391197681427,0.494,1.686,41.487,2.043,33.97,2.214,30.814
89.65577244758606,0.494,1.686,41.487,2.043,33.97,2.214,30.814
89.92166447639465,0.489,1.681,41.597,2.038,34.067,2.209,30.908
90.1868622303009,0.489,1.676,41.707,2.038,34.067,2.209,30.908
90.4524073600769,0.489,1.676,41.707,2.038,34.067,2.209,30.908
90.71671795845032,0.494,1.676,41.707,2.033,34.165,2.209,30.908
90.98258996009827,0.489,1.672,41.817,2.033,34.165,2.204,31.001
91.24758958816528,0.494,1.672,41.817,2.033,34.165,2.204,31.001
91.51309585571289,0.489,1.672,41.817,2.028,34.262,2.204,31.001
91.77796578407288,0.494,1.667,41.927,2.028,34.262,2.199,31.095
92.0423035621643,0.494,1.662,42.038,2.028,34.262,2.199,31.095
92.30773997306824,0.489,1.667,41.927,2.023,34.36,2.204,31.001
92.57359099388123,0.494,1.662,42.038,2.028,34.262,2.199,31.095
92.83888339996338,0.494,1.657,42.149,2.023,34.36,2.199,31.095
93.10419511795044,0.494,1.657,42.149,2.023,34.36,2.199,31.095
93.36925673484802,0.489,1.657,42.149,2.019,34.457,2.195,31.189
93.63440799713135,0.494,1.657,42.149,2.019,34.457,2.19,31.283
93.89948558807373,0.494,1.652,42.26,2.019,34.457,2.195,31.189
94.16434383392334,0.494,1.652,42.26,2.019,34.457,2.195,31.189
94.4294114112854,0.494,1.657,42.149,2.019,34.457,2.195,31.189
94.69456815719604,0.494,1.652,42.26,2.019,34.457,2.19,31.283
94.9590117931366,0.494,1.647,42.371,2.014,34.555,2.185,31.377
95.2248306274414,0.494,1.647,42.371,2.014,34.555,2.185,31.377
95.48980212211609,0.494,1.647,42.371,2.009,34.653,2.185,31.377
95.75496625900269,0.489,1.642,42.483,2.009,34.653,2.18,31.471
96.02034401893616,0.494,1.632,42.706,1.97,35.442,2.18,31.471
96.28528594970703,0.489,1.642,42.483,2.004,34.751,2.16,31.848
96.55057096481323,0.494,1.642,42.483,2.004,34.751,2.175,31.565
96.81568360328674,0.528,1.672,41.817,2.028,34.262,2.18,31.471
97.08131217956543,0.494,1.637,42.594,2.004,34.751,2.175,31.565
97.3465096950531,0.494,1.637,42.594,2.004,34.751,2.175,31.565
97.61153769493103,0.494,1.637,42.594,2.004,34.751,2.175,31.565
97.87660813331604,0.494,1.637,42.594,1.999,34.849,2.175,31.565
98.14175415039062,0.494,1.632,42.706,1.999,34.849,2.175,31.565
98.40610098838806,0.494,1.632,42.706,1.994,34.948,2.17,31.659
98.67232346534729,0.494,1.628,42.819,1.994,34.948,2.17,31.659
98.93723344802856,0.494,1.632,42.706,1.994,34.948,2.17,31.659
99.2021918296814,0.494,1.632,42.706,1.994,34.948,2.165,31.753
99.46726846694946,0.489,1.628,42.819,1.994,34.948,2.165,31.753
99.73291850090027,0.494,1.628,42.819,1.989,35.046,2.165,31.753
99.99652242660522,0.494,1.628,42.819,1.989,35.046,2.165,31.753
100.26293087005615,0.489,1.628,42.819,1.989,35.046,2.16,31.848
100.52810859680176,0.494,1.628,42.819,1.989,35.046,2.16,31.848
100.79338431358337,0.494,1.628,42.819,1.989,35.046,2.16,31.848
101.05844759941101,0.489,1.623,42.931,1.984,35.145,2.155,31.942
101.32357025146484,0.489,1.623,42.931,1.984,35.145,2.155,31.942
101.58838105201721,0.494,1.623,42.931,1.979,35.244,2.155,31.942
101.85291814804077,0.489,1.623,42.931,1.979,35.244,2.155,31.942
